Beam_Name,Applied Force Vertical,Applied Force Horizontal,Length,Gamma_M,Steel Class
,,,,,
160  x  160 x  5,21,32,3,1.15,355
,,,,,
300  x  300 x 6,35,58,6,1.15,355
,,,,,
500  x  300 x 8,60,33,13,1.15,355
,,,,,
400  x  400 x 6,40,95,8,1.15,355
,,,,,
400  x  300 x 8,87,42,9,1.15,355
,,,,,
400  x  400 x 10,35,43,15,1.15,355
,,,,,
200  x  200 x 5,48,68,3,1.15,355
,,,,,
350  x  350 x 8,34,85,8,1.15,355
,,,,,
400  x  400 x 8,87,45,10,1.15,355
,,,,,
300  x  200 x 5,85,49,4,1.15,355
,,,,,
400  x  400 x 10,55,66,12,1.15,355
,,,,,
180  x  180 x 5,16,100,2,1.15,355
,,,,,
500  x  300 x 14.2,54,10,19,1.15,355
,,,,,
140  x  140 x 4,25,44,2,1.15,355
,,,,,
400  x  400 x 6,14,54,11,1.15,355
,,,,,
250  x  150 x 8,45,23,5,1.15,355
,,,,,
500  x  300 x 14.2,62,24,18,1.15,355
,,,,,
350  x  350 x 6.3,70,28,8,1.15,355
,,,,,
400  x  400 x 8,25,41,14,1.15,355
,,,,,
400  x  400 x 10,34,95,10,1.15,355
,,,,,
120  x  120 x 3,78,50,1,1.15,355
,,,,,
250  x  250 x 8,23,19,9,1.15,355
,,,,,
120  x  120 x 4,99,30,1,1.15,355
,,,,,
160  x  160 x 6,7,84,2,1.15,355
,,,,,
250  x  250 x 6,56,79,4,1.15,355
,,,,,
200  x  200 x 6,4,76,3,1.15,355
,,,,,
500  x  300 x 8,100,43,10,1.15,355
,,,,,
400  x  400 x 8,46,97,9,1.15,355
,,,,,
400  x  400 x 6,10,11,23,1.15,355
,,,,,
500  x  300 x 16,93,41,15,1.15,355
,,,,,
400  x  400 x 12,17,30,19,1.15,355
,,,,,
400  x  400 x 10,62,55,13,1.15,355
,,,,,
500  x  200 x 12.5,72,4,14,1.15,355
,,,,,
250  x  150 x 8,34,16,6,1.15,355
,,,,,
300  x  300 x 6.3,79,1,6,1.15,355
,,,,,
350  x  350 x 8,45,63,9,1.15,355
,,,,,
200  x  200 x 10,56,66,4,1.15,355
,,,,,
500  x  300 x 14.2,97,34,14,1.15,355
,,,,,
500  x  300 x 17.5,59,19,20,1.15,355
,,,,,
300  x  200 x 5,60,15,5,1.15,355
,,,,,
500  x  300 x 8,75,34,12,1.15,355
,,,,,
160  x  80 x 4,41,1,2,1.15,355
,,,,,
150  x  150 x 4,45,46,2,1.15,355
,,,,,
160  x  160 x 4,66,40,2,1.15,355
,,,,,
350  x  350 x 8,2,25,15,1.15,355
,,,,,
350  x  250 x 6.3,45,18,9,1.15,355
,,,,,
300  x  300 x 6,33,39,8,1.15,355
,,,,,
150  x  150 x 4,30,48,2,1.15,355
,,,,,
300  x  300 x 6.3,79,51,6,1.15,355
,,,,,
500  x  300 x 10,100,26,12,1.15,355
,,,,,
300  x  300 x 6,25,65,6,1.15,355
,,,,,
500  x  300 x 10,98,37,12,1.15,355
,,,,,
350  x  250 x 6.3,90,53,6,1.15,355
,,,,,
400  x  400 x 6,81,66,9,1.15,355
,,,,,
400  x  400 x 6,24,23,16,1.15,355
,,,,,
300  x  300 x 8,20,61,7,1.15,355
,,,,,
250  x  250 x 6.3,4,45,6,1.15,355
,,,,,
350  x  350 x 8,61,50,9,1.15,355
,,,,,
350  x  350 x 8,85,53,8,1.15,355
,,,,,
400  x  400 x 8,21,84,10,1.15,355
,,,,,
300  x  300 x 8,4,15,15,1.15,355
,,,,,
350  x  150 x 6.3,30,8,9,1.15,355
,,,,,
160  x  160 x 6,10,22,4,1.15,355
,,,,,
300  x  300 x 6,16,25,9,1.15,355
,,,,,
500  x  300 x 16,94,41,15,1.15,355
,,,,,
300  x  300 x 8,50,46,8,1.15,355
,,,,,
500  x  300 x 14.2,72,24,16,1.15,355
,,,,,
200  x  100 x 5,94,15,2,1.15,355
,,,,,
350  x  350 x 6.3,43,70,8,1.15,355
,,,,,
350  x  350 x 8,25,18,14,1.15,355
,,,,,
500  x  300 x 16,86,43,15,1.15,355
,,,,,
300  x  300 x 8,12,52,8,1.15,355
,,,,,
250  x  250 x 6,80,65,4,1.15,355
,,,,,
500  x  300 x 10,86,13,13,1.15,355
,,,,,
300  x  300 x 8,31,48,8,1.15,355
,,,,,
350  x  250 x 6.3,55,6,8,1.15,355
,,,,,
100  x  60 x 3.2,35,12,1,1.15,355
,,,,,
400  x  400 x 12,62,33,14,1.15,355
,,,,,
120  x  120 x 4,23,20,2,1.15,355
,,,,,
500  x  300 x 17.5,59,41,16,1.15,355
,,,,,
250  x  250 x 8,15,80,5,1.15,355
,,,,,
450  x  250 x 12.5,48,14,16,1.15,355
,,,,,
200  x  150  x 5,33,9,4,1.15,355
,,,,,
400  x  400 x 8,60,47,11,1.15,355
,,,,,
500  x  300 x 17.5,91,32,16,1.15,355
,,,,,
180  x  180 x 5,50,49,3,1.15,355
,,,,,
250  x  250 x 6,96,75,4,1.15,355
,,,,,
350  x  150 x 8,51,9,8,1.15,355
,,,,,
250  x  250 x 6,76,88,4,1.15,355
,,,,,
350  x  150 x 6.3,97,13,5,1.15,355
,,,,,
250  x  150 x 5,79,22,3,1.15,355
,,,,,
300  x  300 x 8,44,53,8,1.15,355
,,,,,
120  x  120 x 4,98,89,1,1.15,355
,,,,,
350  x  350 x 6,51,89,7,1.15,355
,,,,,
120  x  120 x 3,74,35,1,1.15,355
,,,,,
120  x  80 x 3.6,69,9,1,1.15,355
,,,,,
450  x  250 x 8,57,16,12,1.15,355
,,,,,
400  x  400 x 8,90,78,9,1.15,355
,,,,,
400  x  400 x 6.3,57,53,11,1.15,355
,,,,,
250  x  250 x 8,28,56,6,1.15,355
,,,,,
300  x  300 x 6,75,96,5,1.15,355
,,,,,
120  x  120 x 4,93,87,1,1.15,355
,,,,,
500  x  300 x 14.2,79,43,14,1.15,355
,,,,,
500  x  300 x 12.5,46,3,20,1.15,355
,,,,,
300  x  300 x 6,97,54,5,1.15,355
,,,,,
400  x  400 x 6,8,30,14,1.15,355
,,,,,
160  x  160 x 6,75,96,2,1.15,355
,,,,,
100  x  60 x 3.2,4,1,3,1.15,355
,,,,,
300  x  300 x 8,63,50,7,1.15,355
,,,,,
400  x  400 x 8,32,30,16,1.15,355
,,,,,
120  x  80 x 3.6,68,35,1,1.15,355
,,,,,
300  x  300 x 8,39,71,7,1.15,355
,,,,,
350  x  150 x 6.3,14,1,13,1.15,355
,,,,,
100  x  100 x 3,35,42,1,1.15,355
,,,,,
300  x  300 x 6,43,44,7,1.15,355
,,,,,
500  x  300 x 16,28,16,25,1.15,355
,,,,,
250  x  150 x 5,85,20,3,1.15,355
,,,,,
500  x  300 x 17.5,58,36,17,1.15,355
,,,,,
350  x  350 x 6.3,93,41,7,1.15,355
,,,,,
300  x  300 x 8,68,97,6,1.15,355
,,,,,
400  x  400 x 8,40,61,11,1.15,355
,,,,,
350  x  350 x 6,49,89,7,1.15,355
,,,,,
400  x  400 x 12.5,25,29,21,1.15,355
,,,,,
350  x  350 x 6,29,91,7,1.15,355
,,,,,
500  x  300 x 17.5,50,6,22,1.15,355
,,,,,
120  x  120 x 3,42,69,1,1.15,355
,,,,,
140  x  140 x 4,45,26,2,1.15,355
,,,,,
120  x  80 x 3.6,70,41,1,1.15,355
,,,,,
450  x  250 x 8,42,3,14,1.15,355
,,,,,
400  x  400 x 8,54,35,12,1.15,355
,,,,,
400  x  400 x 10,98,82,10,1.15,355
,,,,,
400  x  400 x 10,37,56,13,1.15,355
,,,,,
400  x  400 x 8,13,15,22,1.15,355
,,,,,
200  x  200 x 8,27,97,3,1.15,355
,,,,,
350  x  350 x 6,83,72,7,1.15,355
,,,,,
400  x  400 x 12,59,72,13,1.15,355
,,,,,
400  x  400 x 12,43,70,13,1.15,355
,,,,,
70  x  70 x 3.5,17,12,1,1.15,355
,,,,,
300  x  200 x 6.3,41,14,7,1.15,355
,,,,,
350  x  150 x 6.3,98,25,5,1.15,355
,,,,,
160  x  160 x  5,3,9,6,1.15,355
,,,,,
200  x  200 x 5,68,35,3,1.15,355
,,,,,
250  x  150 x 5,84,3,3,1.15,355
,,,,,
350  x  350 x 6,14,28,12,1.15,355
,,,,,
200  x  120 x 5,95,50,2,1.15,355
,,,,,
350  x  150 x 5,54,1,6,1.15,355
,,,,,
400  x  400 x 12,18,23,22,1.15,355
,,,,,
400  x  300 x 17.5,80,48,13,1.15,355
,,,,,
300  x  200 x 5,66,58,4,1.15,355
,,,,,
400  x  400 x 8,52,58,12,1.15,355
,,,,,
400  x  400 x 12,19,49,15,1.15,355
,,,,,
400  x  300 x 14.2,64,43,13,1.15,355
,,,,,
400  x  400 x 10,13,36,17,1.15,355
,,,,,
500  x  300 x 12.5,70,19,15,1.15,355
,,,,,
200  x  200 x 8,56,57,4,1.15,355
,,,,,
400  x  400 x 10,18,67,12,1.15,355
,,,,,
400  x  400 x 12,19,21,24,1.15,355
,,,,,
500  x  300 x 14.2,85,6,15,1.15,355
,,,,,
500  x  300 x 17.5,64,36,17,1.15,355
,,,,,
350  x  350 x 8,53,29,10,1.15,355
,,,,,
400  x  300 x 14.2,48,29,15,1.15,355
,,,,,
350  x  150 x 8,37,2,9,1.15,355
,,,,,
200  x  200 x 5,66,58,3,1.15,355
,,,,,
400  x  300 x 8,59,18,11,1.15,355
,,,,,
120  x  120 x 4,25,24,2,1.15,355
,,,,,
400  x  400 x 10,52,40,13,1.15,355
,,,,,
150  x  150 x 4,32,56,2,1.15,355
,,,,,
300  x  300 x 6,44,92,5,1.15,355
,,,,,
160  x  160 x 6,91,57,2,1.15,355
,,,,,
350  x  350 x 6,3,23,13,1.15,355
,,,,,
300  x  100 x 6.3,56,9,5,1.15,355
,,,,,
250  x  250 x 6,22,19,8,1.15,355
,,,,,
400  x  400 x 6,73,23,9,1.15,355
,,,,,
350  x  350 x 6.3,56,70,8,1.15,355
,,,,,
400  x  400 x 6,13,54,11,1.15,355
,,,,,
400  x  400 x 8,63,46,11,1.15,355
,,,,,
250  x  150 x 8,81,31,4,1.15,355
,,,,,
500  x  300 x 14.2,69,7,17,1.15,355
,,,,,
400  x  400 x 8,15,49,12,1.15,355
,,,,,
500  x  200 x 14.2,25,1,25,1.15,355
,,,,,
350  x  350 x 6.3,23,8,14,1.15,355
,,,,,
300  x  300 x 6,8,53,7,1.15,355
,,,,,
200  x  200 x 10,36,47,5,1.15,355
,,,,,
350  x  150 x 5,19,4,10,1.15,355
,,,,,
350  x  350 x 8,77,41,8,1.15,355
,,,,,
400  x  200 x 6.3,18,1,15,1.15,355
,,,,,
400  x  400 x 10,51,44,14,1.15,355
,,,,,
250  x  250 x 8,16,17,10,1.15,355
,,,,,
400  x  400 x 12,41,27,17,1.15,355
,,,,,
250  x  250 x 6,84,99,4,1.15,355
,,,,,
300  x  300 x 6,83,67,5,1.15,355
,,,,,
200  x  200 x 6,25,28,5,1.15,355
,,,,,
400  x  400 x 12,19,38,18,1.15,355
,,,,,
400  x  400 x 10,59,39,13,1.15,355
,,,,,
250  x  100 x 5,26,3,5,1.15,355
,,,,,
300  x  300 x 6,65,89,5,1.15,355
,,,,,
350  x  350 x 6,17,80,7,1.15,355
,,,,,
400  x  400 x 10,12,63,12,1.15,355
,,,,,
400  x  400 x 12,61,81,12,1.15,355
,,,,,
120  x  120 x 3,41,80,1,1.15,355
,,,,,
120  x  60 x 4,63,7,1,1.15,355
,,,,,
300  x  300 x 6,44,62,6,1.15,355
,,,,,
250  x  250 x 8,73,73,5,1.15,355
,,,,,
200  x  200 x 6,84,78,3,1.15,355
,,,,,
250  x  250 x 8,15,35,7,1.15,355
,,,,,
120  x  60 x 4,65,15,1,1.15,355
,,,,,
500  x  300 x 16,86,58,13,1.15,355
,,,,,
500  x  300 x 12.5,50,3,19,1.15,355
,,,,,
300  x  200 x 6.3,55,28,6,1.15,355
,,,,,
500  x  300 x 14.2,42,8,22,1.15,355
,,,,,
250  x  250 x 6,29,31,7,1.15,355
,,,,,
400  x  400 x 10,51,96,10,1.15,355
,,,,,
500  x  200 x 17.5,96,9,14,1.15,355
,,,,,
450  x  250 x 12.5,64,1,14,1.15,355
,,,,,
350  x  150 x 6.3,61,8,6,1.15,355
,,,,,
200  x  200 x 6,16,12,7,1.15,355
,,,,,
400  x  400 x 12,16,83,12,1.15,355
,,,,,
160  x  160 x 6,92,58,2,1.15,355
,,,,,
100  x  100 x 4,4,62,1,1.15,355
,,,,,
250  x  100 x 5,74,11,3,1.15,355
,,,,,
350  x  350 x 8,34,56,10,1.15,355
,,,,,
350  x  350 x 8,47,67,9,1.15,355
,,,,,
400  x  400 x 10,2,73,12,1.15,355
,,,,,
400  x  400 x 8,65,48,11,1.15,355
,,,,,
300  x  300 x 8,89,85,6,1.15,355
,,,,,
350  x  350 x 8,8,34,12,1.15,355
,,,,,
500  x  300 x 12.5,25,7,25,1.15,355
,,,,,
120  x  120 x 3,71,45,1,1.15,355
,,,,,
350  x  350 x 6,31,2,12,1.15,355
,,,,,
200  x  200 x 6,86,72,3,1.15,355
,,,,,
300  x  300 x 6,9,18,12,1.15,355
,,,,,
300  x  300 x 6,15,41,8,1.15,355
,,,,,
400  x  400 x 12,41,40,17,1.15,355
,,,,,
250  x  250 x 6,13,90,4,1.15,355
,,,,,
100  x  50 x 3.2,31,4,1,1.15,355
,,,,,
400  x  400 x 6,58,38,10,1.15,355
,,,,,
400  x  400 x 10,63,51,13,1.15,355
,,,,,
250  x  250 x 8,37,67,5,1.15,355
,,,,,
120  x  120 x 4,9,22,2,1.15,355
,,,,,
500  x  300 x 16,97,20,15,1.15,355
,,,,,
160  x  160 x 4,17,11,4,1.15,355
,,,,,
500  x  300 x 8,70,7,13,1.15,355
,,,,,
160  x  160 x  5,13,7,5,1.15,355
,,,,,
400  x  200 x 8,100,6,7,1.15,355
,,,,,
300  x  300 x 8,18,19,13,1.15,355
,,,,,
400  x  400 x 10,13,54,13,1.15,355
,,,,,
350  x  350 x 6,34,18,11,1.15,355
,,,,,
500  x  300 x 12.5,78,37,14,1.15,355
,,,,,
400  x  300 x 14.2,98,52,11,1.15,355
,,,,,
300  x  200 x 6.3,75,30,5,1.15,355
,,,,,
300  x  300 x 6,6,49,7,1.15,355
,,,,,
300  x  300 x 6,28,97,5,1.15,355
,,,,,
350  x  350 x 8,59,79,8,1.15,355
,,,,,
400  x  400 x 8,7,14,24,1.15,355
,,,,,
180  x  180 x 5,30,26,4,1.15,355
,,,,,
250  x  250 x 6,36,78,4,1.15,355
,,,,,
400  x  400 x 10,70,77,11,1.15,355
,,,,,
500  x  300 x 12.5,97,34,13,1.15,355
,,,,,
180  x  180 x 5,29,28,4,1.15,355
,,,,,
400  x  200 x 6.3,51,12,9,1.15,355
,,,,,
150  x  100 x 5,46,26,2,1.15,355
,,,,,
200  x  200 x 8,2,9,10,1.15,355
,,,,,
400  x  400 x 12,21,89,11,1.15,355
,,,,,
350  x  350 x 8,90,15,8,1.15,355
,,,,,
350  x  350 x 6.3,72,23,8,1.15,355
,,,,,
350  x  350 x 8,79,45,8,1.15,355
,,,,,
500  x  300 x 16,95,42,15,1.15,355
,,,,,
300  x  300 x 6,90,43,5,1.15,355
,,,,,
140  x  140 x 4,12,16,3,1.15,355
,,,,,
300  x  300 x 6,34,65,6,1.15,355
,,,,,
250  x  250 x 6,3,77,4,1.15,355
,,,,,
400  x  400 x 8,79,35,10,1.15,355
,,,,,
400  x  400 x 6,34,74,9,1.15,355
,,,,,
250  x  250 x 8,11,55,6,1.15,355
,,,,,
120  x  120 x 4,62,93,1,1.15,355
,,,,,
250  x  250 x 6,2,19,9,1.15,355
,,,,,
300  x  300 x 6,13,63,6,1.15,355
,,,,,
300  x  300 x 6,17,21,10,1.15,355
,,,,,
180  x  180 x 6,10,55,3,1.15,355
,,,,,
350  x  350 x 8,55,63,9,1.15,355
,,,,,
500  x  300 x 16,81,31,16,1.15,355
,,,,,
500  x  300 x 14.2,63,19,18,1.15,355
,,,,,
200  x  200 x 5,27,68,3,1.15,355
,,,,,
200  x  200 x 10,44,66,4,1.15,355
,,,,,
120  x  120 x 4,60,99,1,1.15,355
,,,,,
200  x  200 x 5,23,26,5,1.15,355
,,,,,
250  x  250 x 8,55,36,6,1.15,355
,,,,,
300  x  100 x 5,62,10,4,1.15,355
,,,,,
450  x  250 x 8,72,8,10,1.15,355
,,,,,
450  x  250 x 10,33,10,17,1.15,355
,,,,,
400  x  400 x 6,48,67,10,1.15,355
,,,,,
400  x  400 x 8,86,72,10,1.15,355
,,,,,
300  x  300 x 6,36,92,5,1.15,355
,,,,,
400  x  400 x 12,25,93,11,1.15,355
,,,,,
400  x  400 x 12,91,78,11,1.15,355
,,,,,
500  x  300 x 8,76,40,11,1.15,355
,,,,,
350  x  150 x 8,31,5,10,1.15,355
,,,,,
300  x  300 x 6,61,37,6,1.15,355
,,,,,
120  x  80 x 6.3,29,9,2,1.15,355
,,,,,
400  x  400 x 12,33,90,11,1.15,355
,,,,,
300  x  100 x 6.3,53,8,5,1.15,355
,,,,,
140  x  140 x 4,3,44,2,1.15,355
,,,,,
250  x  250 x 8,50,43,6,1.15,355
,,,,,
350  x  350 x 6.3,66,72,8,1.15,355
,,,,,
400  x  400 x 12,58,90,11,1.15,355
,,,,,
350  x  250 x 6.3,36,10,10,1.15,355
,,,,,
120  x  120 x 3,24,80,1,1.15,355
,,,,,
400  x  400 x 6.3,39,85,9,1.15,355
,,,,,
250  x  150 x 5,93,15,3,1.15,355
,,,,,
400  x  400 x 8,33,26,15,1.15,355
,,,,,
150  x  150 x 4,48,28,2,1.15,355
,,,,,
400  x  400 x 8,85,28,10,1.15,355
,,,,,
500  x  300 x 16,73,45,15,1.15,355
,,,,,
400  x  400 x 6,39,38,13,1.15,355
,,,,,
200  x  200 x 6.3,46,89,3,1.15,355
,,,,,
350  x  350 x 6,77,60,7,1.15,355
,,,,,
350  x  350 x 6.3,2,72,8,1.15,355
,,,,,
400  x  400 x 8,34,21,16,1.15,355
,,,,,
400  x  400 x 10,7,63,12,1.15,355
,,,,,
100  x  100 x 3,48,23,1,1.15,355
,,,,,
400  x  400 x 6.3,46,56,11,1.15,355
,,,,,
300  x  300 x 6.3,19,20,12,1.15,355
,,,,,
500  x  300 x 17.5,59,9,20,1.15,355
,,,,,
350  x  350 x 6,47,50,9,1.15,355
,,,,,
350  x  350 x 6,22,46,9,1.15,355
,,,,,
500  x  200 x 10,47,3,15,1.15,355
,,,,,
400  x  400 x 12,22,50,15,1.15,355
,,,,,
350  x  350 x 8,25,39,11,1.15,355
,,,,,
500  x  300 x 8,97,14,11,1.15,355
,,,,,
300  x  300 x 8,9,54,8,1.15,355
,,,,,
400  x  400 x 10,55,42,13,1.15,355
,,,,,
350  x  350 x 6,5,29,12,1.15,355
,,,,,
180  x  180 x 6,2,21,5,1.15,355
,,,,,
350  x  350 x 8,41,90,8,1.15,355
,,,,,
400  x  400 x 6,42,11,12,1.15,355
,,,,,
200  x  100 x 5,91,31,2,1.15,355
,,,,,
500  x  300 x 12.5,79,39,14,1.15,355
,,,,,
400  x  200 x 6.3,61,3,8,1.15,355
,,,,,
200  x  200 x 10,5,10,10,1.15,355
,,,,,
200  x  100 x 5,89,8,2,1.15,355
,,,,,
300  x  300 x 6,71,90,5,1.15,355
,,,,,
250  x  250 x 6,14,99,4,1.15,355
,,,,,
100  x  100 x 4,63,59,1,1.15,355
,,,,,
450  x  250 x 8,68,24,11,1.15,355
,,,,,
500  x  300 x 8,60,6,14,1.15,355
,,,,,
100  x  100 x 4,57,46,1,1.15,355
,,,,,
200  x  200 x 8,24,54,4,1.15,355
,,,,,
350  x  350 x 6,79,73,7,1.15,355
,,,,,
200  x  200 x 6,71,87,3,1.15,355
,,,,,
300  x  300 x 6,37,21,8,1.15,355
,,,,,
400  x  400 x 12,79,93,11,1.15,355
,,,,,
400  x  400 x 6,35,83,9,1.15,355
,,,,,
300  x  300 x 8,33,71,7,1.15,355
,,,,,
300  x  300 x 6,36,19,8,1.15,355
,,,,,
250  x  250 x 6,84,79,4,1.15,355
,,,,,
350  x  350 x 8,35,89,8,1.15,355
,,,,,
500  x  300 x 8,24,9,22,1.15,355
,,,,,
300  x  300 x 8,51,98,6,1.15,355
,,,,,
500  x  200 x 12.5,67,3,14,1.15,355
,,,,,
500  x  300 x 17.5,69,37,17,1.15,355
,,,,,
250  x  150 x 5,88,31,3,1.15,355
,,,,,
400  x  200 x 8,60,3,9,1.15,355
,,,,,
300  x  100 x 6.3,56,7,5,1.15,355
,,,,,
160  x  160 x  5,61,81,2,1.15,355
,,,,,
400  x  400 x 8,49,35,12,1.15,355
,,,,,
400  x  400 x 10,81,70,11,1.15,355
,,,,,
300  x  300 x 8,96,62,6,1.15,355
,,,,,
300  x  300 x 8,39,66,7,1.15,355
,,,,,
300  x  300 x 6,27,82,5,1.15,355
,,,,,
400  x  400 x 8,96,56,9,1.15,355
,,,,,
400  x  400 x 8,44,13,14,1.15,355
,,,,,
400  x  400 x 8,49,42,12,1.15,355
,,,,,
200  x  200 x 5,10,17,6,1.15,355
,,,,,
400  x  400 x 6,12,11,22,1.15,355
,,,,,
200  x  200 x 6,47,78,3,1.15,355
,,,,,
400  x  400 x 10,7,90,10,1.15,355
,,,,,
350  x  350 x 8,89,76,8,1.15,355
,,,,,
300  x  300 x 6,51,61,6,1.15,355
,,,,,
400  x  200 x 8,97,9,7,1.15,355
,,,,,
400  x  400 x 6,92,91,8,1.15,355
,,,,,
160  x  160 x  5,10,78,2,1.15,355
,,,,,
160  x  160 x 6,92,79,2,1.15,355
,,,,,
200  x  100 x 5,99,12,2,1.15,355
,,,,,
500  x  300 x 16,99,5,15,1.15,355
,,,,,
180  x  180 x 5,100,56,2,1.15,355
,,,,,
140  x  140 x 4,9,44,2,1.15,355
,,,,,
300  x  300 x 6,70,33,6,1.15,355
,,,,,
350  x  350 x 6,4,28,12,1.15,355
,,,,,
